id,created_at,text
905137515056660480,2017-09-05 18:36:14,"b'Trump suspendi\xc3\xb3 #DACA, el programa que proteg\xc3\xada a miles de Dreamers en EUA\n\n\xc2\xbfQu\xc3\xa9 es #DACA? \xc2\xbfQui\xc3\xa9nes son los Dreamer\xe2\x80\xa6 https://t.co/OBXqd8MAcn'"
905097765621047296,2017-09-05 15:58:17,b'RT @pictoline: \xc2\xbfY eso qui\xc3\xa9n lo puso de moda? \xf0\x9f\x98\xae\nAlgunas modas empezaron solo con una persona \xf0\x9f\x91\x99 \xf0\x9f\x8e\xa9 \xf0\x9f\x91\x97 https://t.co/unmtlSa4pw'
904904041074909185,2017-09-05 03:08:30,b'\xc2\xbfY eso qui\xc3\xa9n lo puso de moda? \xf0\x9f\x98\xae\nAlgunas modas empezaron solo con una persona \xf0\x9f\x91\x99 \xf0\x9f\x8e\xa9 \xf0\x9f\x91\x97 https://t.co/unmtlSa4pw'
904852567271800833,2017-09-04 23:43:58,b'RT @pictoline: \xc2\xbfPor qu\xc3\xa9 nos emociona tanto cualquier atenci\xc3\xb3n de nuestro crush?\n\xc2\xbfEs destino?\xf0\x9f\x91\xb0\n\xc2\xbfEs amor?\xf0\x9f\x98\x8d\n\xc2\xbfEs nuestro cerebro?\xf0\x9f\xa4\x94\n\nAy\xe2\x80\xa6 es nues\xe2\x80\xa6'
904811624963366912,2017-09-04 21:01:16,"b'Pruebas nucleares\nSanciones\nAmenazas\n\nLa situaci\xc3\xb3n en la Pen\xc3\xadnsula de Corea es delicada, y ning\xc3\xban pa\xc3\xads quiere ser e\xe2\x80\xa6 https://t.co/KhO3XpD79R'"
904763085436592130,2017-09-04 17:48:23,b'\xc2\xbfPor qu\xc3\xa9 nos emociona tanto cualquier atenci\xc3\xb3n de nuestro crush?\n\xc2\xbfEs destino?\xf0\x9f\x91\xb0\n\xc2\xbfEs amor?\xf0\x9f\x98\x8d\n\xc2\xbfEs nuestro cerebro?\xf0\x9f\xa4\x94\n\nAy\xe2\x80\xa6 https://t.co/vQeXOciqYJ'
904030803625074688,2017-09-02 17:18:34,b'Van 5 a\xc3\xb1os\nFalta 1\n\n#5toInforme https://t.co/azIQpe5VlO'
903765399564582912,2017-09-01 23:43:57,"b'RT @pictoline: Hoy el asteroide Florence pasar\xc3\xa1 (no tan) cerca de la Tierra \xf0\x9f\x8c\x8e \xe2\x98\x84\xef\xb8\x8f\nS\xc3\xad, es gigantesco\nNo, no hay peligro\nPero \xc2\xbfqu\xc3\xa9 pasar\xc3\xada si\xe2\x80\xa6'"
903706927053496320,2017-09-01 19:51:36,"b'Hoy el asteroide Florence pasar\xc3\xa1 (no tan) cerca de la Tierra \xf0\x9f\x8c\x8e \xe2\x98\x84\xef\xb8\x8f\nS\xc3\xad, es gigantesco\nNo, no hay peligro\nPero \xc2\xbfqu\xc3\xa9 pa\xe2\x80\xa6 https://t.co/uHqAzvbA4i'"
903666894174994432,2017-09-01 17:12:31,"b'De un costal de hojas a millones de d\xc3\xb3lares \xf0\x9f\x92\xb0\nAs\xc3\xad es como se incrementa el precio de la coca\xc3\xadna, seg\xc3\xban el libro Nar\xe2\x80\xa6 https://t.co/Ov6h0qYdzS'"
903444096936665089,2017-09-01 02:27:12,b'Las actuales inundaciones en el mundo vuelven a traer la pregunta:\n\xc2\xbfQu\xc3\xa9 tanto tiene que ver el calentamiento global\xe2\x80\xa6 https://t.co/V6COJ0GCkZ'
